CRSE_ID,CRSE_SUBJECT,CRSE_NBR,CRSE_TITLE,CRSE_DESCRIPTION
6492,HCI,400,INQUIRY METHODS AND USE ANALYSIS,"This course provides students with the skills necessary to acquire and organize user information for the purpose of developing task and systems analyses.   Topics covered include survey construction and administration, structured observation, interviewing, and participatory design.  Students learn to evaluate and organize user information toward making analysis and design decisions.  Human communication and presentation skills are developed.  PREREQUISITE(S): IT 403 and (HCI 440 or HCI 441)"
12474,IS,400,INTRODUCTION TO IS MANAGEMENT SEMINAR,This one-credit seminar examines the concepts of information and technology management and career options in this field. Students will assess their own interests and skill requirements for various careers. They will also analyze the impacts of IS trends and emerging technologies on their career choices. All new IS master's students are required to take this seminar as the first course. PREREQUISITE(S): None  (1 quarter hour)
6588,HCI,402,FOUNDATIONS OF DIGITAL DESIGN,"Shape, line on two-dimensional surfaces. Color. Composition rules as they apply to digitally created documents. Digital manipulation of two-dimensional images. Use of commercially available draw and paint tools to create two-dimensional designs. PREREQUISITE(S): None"
12471,IT,403,STATISTICS AND DATA ANALYSIS,"Introduction to univariate data analysis methods. Descriptive statistics and data visualization methods. Overview of sampling techniques for data collection, and introduction to statistical inference methods for decision making including simple linear regression, estimation procedures using confidence intervals and hypothesis testing. PREREQUISITE(S): None"
12477,HCI,406,WEB SITE DESIGN FOR HCI,"Web design introduced in a user-centered context. Application of visual design principles and common design patterns for web sites and mobile interfaces. Page markup using HTML and CSS addressing responsive web design, accessibility, and search engine optimization. PREREQUISITE(S): None"
12473,ECT,410,DEVELOPMENT OF WEB-BASED BUSINESS APPLICATIONS,"Development of web-based business solutions using client-side and server-side technologies. Major topics include analysis and design of web projects for a business, web application design patterns, server-side programming, and access to databases. PREREQUISITE(S): CSC 401 or IT 411"
12476,IT,411,SCRIPTING FOR INTERACTIVE SYSTEMS,"Introductory scripting for developing interactive web pages. Overview of HTML and CSS. Elementary programming concepts using JavaScript for learning control structures, functions, arrays, and object use. User interface development concepts include event  handling and use of JavaScript libraries such as jQuery. Review of web clients, servers and architecture. PREREQUISITE(S): None"
6379,IS,421,SYSTEMS ANALYSIS,"Course focus is on both traditional and object oriented systems analysis, with an emphasis upon developing competency in a wide range of modeling techniques.  Specific topics include: overview of the software development environment and project management; project selection, initiation, and planning; determining requirements; process modeling, including DFDs and use cases; logic modeling, including decision tables, sequence diagrams, and activity diagrams; introduction to Entity-Relationship Diagrams.  PREREQUISITE(S): None"
10370,HCI,421,DESIGNING FOR CONTENT MANAGEMENT SYSTEMS,"Design and development of Web sites using common database-driven content management systems (CMSs) and publishing tools such as those used to manage blogs, community portals, and other content-heavy websites.  Discussions of how familiarity with CMS tools assists the role of the user experience designer.  Visual design and theme customization using prior knowledge of CSS.  Taxonomy systems, installation of add-on modules, and user management using today's widely used systems.  PREREQUISITE(S): HCI 406"
6380,IS,422,"SYSTEM DESIGN, IMPLEMENTATION, AND MAINTENANCE","Course focus is on both traditional and object oriented systems design.  Specific topics include: database design, including logical and physical design; Entity-Relationship diagrams, class diagrams,  form and report design; interface and dialogue design; design specifications, including structure charts and prototypes; designing for LANs and distributed systems, as well as the Internet; system implementation, including parallel and phased implementation, testing, documentation, and user training; system maintenance, including types of maintenance, controlling and coordinating maintenance requests, and configuration management.  Course ends with a multi-week case study applying the principles from both this course and IS 421, Systems Analysis.  PREREQUISITE(S): IS 421 and CSC 451"
